Running the serial executable x.serial
Running x.serial with list size 1024, operations 100-0-0
Running x.serial with list size 1024, operations 80-10-10
Running x.serial with list size 1024, operations 20-40-40
Running x.serial with list size 1024, operations 0-50-50
Running x.serial with list size 8192, operations 100-0-0
Running x.serial with list size 8192, operations 80-10-10
Running x.serial with list size 8192, operations 20-40-40
Running x.serial with list size 8192, operations 0-50-50
Running x.cgl with 1 threads, list size 1024, operations 100-0-0
Running x.cgl with 1 threads, list size 1024, operations 80-10-10
Running x.cgl with 1 threads, list size 1024, operations 20-40-40
Running x.cgl with 1 threads, list size 1024, operations 0-50-50
Running x.cgl with 1 threads, list size 8192, operations 100-0-0
Running x.cgl with 1 threads, list size 8192, operations 80-10-10
Running x.cgl with 1 threads, list size 8192, operations 20-40-40
Running x.cgl with 1 threads, list size 8192, operations 0-50-50
Running x.cgl with 2 threads, list size 1024, operations 100-0-0
Running x.cgl with 2 threads, list size 1024, operations 80-10-10
Running x.cgl with 2 threads, list size 1024, operations 20-40-40
Running x.cgl with 2 threads, list size 1024, operations 0-50-50
Running x.cgl with 2 threads, list size 8192, operations 100-0-0
Running x.cgl with 2 threads, list size 8192, operations 80-10-10
Running x.cgl with 2 threads, list size 8192, operations 20-40-40
Running x.cgl with 2 threads, list size 8192, operations 0-50-50
Running x.cgl with 4 threads, list size 1024, operations 100-0-0
Running x.cgl with 4 threads, list size 1024, operations 80-10-10
Running x.cgl with 4 threads, list size 1024, operations 20-40-40
Running x.cgl with 4 threads, list size 1024, operations 0-50-50
Running x.cgl with 4 threads, list size 8192, operations 100-0-0
Running x.cgl with 4 threads, list size 8192, operations 80-10-10
Running x.cgl with 4 threads, list size 8192, operations 20-40-40
Running x.cgl with 4 threads, list size 8192, operations 0-50-50
Running x.cgl with 8 threads, list size 1024, operations 100-0-0
Running x.cgl with 8 threads, list size 1024, operations 80-10-10
Running x.cgl with 8 threads, list size 1024, operations 20-40-40
Running x.cgl with 8 threads, list size 1024, operations 0-50-50
Running x.cgl with 8 threads, list size 8192, operations 100-0-0
Running x.cgl with 8 threads, list size 8192, operations 80-10-10
Running x.cgl with 8 threads, list size 8192, operations 20-40-40
Running x.cgl with 8 threads, list size 8192, operations 0-50-50
Running x.cgl with 16 threads, list size 1024, operations 100-0-0
Running x.cgl with 16 threads, list size 1024, operations 80-10-10
Running x.cgl with 16 threads, list size 1024, operations 20-40-40
Running x.cgl with 16 threads, list size 1024, operations 0-50-50
Running x.cgl with 16 threads, list size 8192, operations 100-0-0
Running x.cgl with 16 threads, list size 8192, operations 80-10-10
Running x.cgl with 16 threads, list size 8192, operations 20-40-40
Running x.cgl with 16 threads, list size 8192, operations 0-50-50
Running x.cgl with 32 threads, list size 1024, operations 100-0-0
Running x.cgl with 32 threads, list size 1024, operations 80-10-10
Running x.cgl with 32 threads, list size 1024, operations 20-40-40
Running x.cgl with 32 threads, list size 1024, operations 0-50-50
Running x.cgl with 32 threads, list size 8192, operations 100-0-0
Running x.cgl with 32 threads, list size 8192, operations 80-10-10
Running x.cgl with 32 threads, list size 8192, operations 20-40-40
Running x.cgl with 32 threads, list size 8192, operations 0-50-50
Running x.cgl with 64 threads, list size 1024, operations 100-0-0
Running x.cgl with 64 threads, list size 1024, operations 80-10-10
Running x.cgl with 64 threads, list size 1024, operations 20-40-40
Running x.cgl with 64 threads, list size 1024, operations 0-50-50
Running x.cgl with 64 threads, list size 8192, operations 100-0-0
Running x.cgl with 64 threads, list size 8192, operations 80-10-10
Running x.cgl with 64 threads, list size 8192, operations 20-40-40
Running x.cgl with 64 threads, list size 8192, operations 0-50-50
Running x.cgl with 128 threads, list size 1024, operations 100-0-0
Running x.cgl with 128 threads, list size 1024, operations 80-10-10
Running x.cgl with 128 threads, list size 1024, operations 20-40-40
Running x.cgl with 128 threads, list size 1024, operations 0-50-50
Running x.cgl with 128 threads, list size 8192, operations 100-0-0
Running x.cgl with 128 threads, list size 8192, operations 80-10-10
Running x.cgl with 128 threads, list size 8192, operations 20-40-40
Running x.cgl with 128 threads, list size 8192, operations 0-50-50
Running x.fgl with 1 threads, list size 1024, operations 100-0-0
Running x.fgl with 1 threads, list size 1024, operations 80-10-10
Running x.fgl with 1 threads, list size 1024, operations 20-40-40
Running x.fgl with 1 threads, list size 1024, operations 0-50-50
Running x.fgl with 1 threads, list size 8192, operations 100-0-0
Running x.fgl with 1 threads, list size 8192, operations 80-10-10
Running x.fgl with 1 threads, list size 8192, operations 20-40-40
Running x.fgl with 1 threads, list size 8192, operations 0-50-50
Running x.fgl with 2 threads, list size 1024, operations 100-0-0
Running x.fgl with 2 threads, list size 1024, operations 80-10-10
Running x.fgl with 2 threads, list size 1024, operations 20-40-40
Running x.fgl with 2 threads, list size 1024, operations 0-50-50
Running x.fgl with 2 threads, list size 8192, operations 100-0-0
Running x.fgl with 2 threads, list size 8192, operations 80-10-10
Running x.fgl with 2 threads, list size 8192, operations 20-40-40
Running x.fgl with 2 threads, list size 8192, operations 0-50-50
Running x.fgl with 4 threads, list size 1024, operations 100-0-0
Running x.fgl with 4 threads, list size 1024, operations 80-10-10
Running x.fgl with 4 threads, list size 1024, operations 20-40-40
Running x.fgl with 4 threads, list size 1024, operations 0-50-50
Running x.fgl with 4 threads, list size 8192, operations 100-0-0
Running x.fgl with 4 threads, list size 8192, operations 80-10-10
Running x.fgl with 4 threads, list size 8192, operations 20-40-40
Running x.fgl with 4 threads, list size 8192, operations 0-50-50
Running x.fgl with 8 threads, list size 1024, operations 100-0-0
Running x.fgl with 8 threads, list size 1024, operations 80-10-10
Running x.fgl with 8 threads, list size 1024, operations 20-40-40
Running x.fgl with 8 threads, list size 1024, operations 0-50-50
Running x.fgl with 8 threads, list size 8192, operations 100-0-0
Running x.fgl with 8 threads, list size 8192, operations 80-10-10
Running x.fgl with 8 threads, list size 8192, operations 20-40-40
Running x.fgl with 8 threads, list size 8192, operations 0-50-50
Running x.fgl with 16 threads, list size 1024, operations 100-0-0
Running x.fgl with 16 threads, list size 1024, operations 80-10-10
Running x.fgl with 16 threads, list size 1024, operations 20-40-40
